"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","713465","should handle invalid credentials gracefully","chromium","Thu Sep 18 21:49:32 IST 2025","failed","Thu Sep 18 22:01:26 IST 2025","Login Functionality Tests","login.spec.ts","",""
"","17607","Auction bidding flow - multi user","chromium","Wed Sep 17 13:00:38 IST 2025","failed","Wed Sep 17 13:00:56 IST 2025","","bidding.spec.ts","",""
"","166687","Multi-user bidding flow","chromium","Thu Sep 18 18:11:49 IST 2025","failed","Thu Sep 18 18:14:36 IST 2025","","bidding.spec.ts","",""
"","5986","test","chromium","Thu Sep 18 21:15:02 IST 2025","passed","Thu Sep 18 21:15:08 IST 2025","","login.spec.ts","",""
"","1","should allow two users to login simultaneously","chromium","Thu Sep 18 23:10:36 IST 2025","skipped","Thu Sep 18 23:10:36 IST 2025","Login Functionality Tests","login.spec.ts","",""
"","10292","test","chromium","Wed Sep 10 14:22:35 IST 2025","passed","Wed Sep 10 14:22:46 IST 2025","","registration.spec.ts","",""
"","0","should capture screenshot after successful login","chromium","Thu Sep 18 22:01:26 IST 2025","skipped","Thu Sep 18 22:01:26 IST 2025","Login Functionality Tests","login.spec.ts","",""
"","989530","should login with default credentials when none provided","chromium","Thu Sep 18 22:04:26 IST 2025","failed","Thu Sep 18 22:20:56 IST 2025","Login Functionality Tests","login.spec.ts","",""
"","36107","User should login and place a bid successfully","chromium","Wed Sep 24 13:11:39 IST 2025","passed","Wed Sep 24 13:12:15 IST 2025","","bid.spec.ts","",""
"","8445","complete registration process","chromium","Wed Sep 10 16:28:58 IST 2025","passed","Wed Sep 10 16:29:06 IST 2025","Registration Functionality","registration.spec.ts","",""
"","1","should login successfully with valid credentials","chromium","Thu Sep 18 23:10:36 IST 2025","skipped","Thu Sep 18 23:10:36 IST 2025","Login Functionality Tests","login.spec.ts","",""
"","9043","basic login test","chromium","Thu Sep 18 21:08:59 IST 2025","passed","Thu Sep 18 21:09:08 IST 2025","Login Functionality","loginTest.spec.ts","",""
"","0","should handle network issues gracefully","chromium","Thu Sep 18 22:01:26 IST 2025","skipped","Thu Sep 18 22:01:26 IST 2025","Login Functionality Tests","login.spec.ts","",""
"","639297","User should be able to login and place a bid","chromium","Thu Sep 18 22:40:45 IST 2025","failed","Thu Sep 18 22:51:24 IST 2025","","bid.spec.ts","",""
